INST_NM,CERT_NBR,BranchNBR,INST_DEPOSIT,id
Tallahassee State Bank,873,317,22889465,121
Coastal Bank & Trust of Florida,873,317,22889465,122
Columbus Bank & Trust Company,873,317,22889465,123
CB&T Bank of Middle Georgia,873,317,22889465,124
Synovus Bank of Florida,873,317,22889465,125
Commercial Bank & Trust Company,873,317,22889465,126
AFB&T,873,317,22889465,127
Community Bank & Trust of Southeast Alabama,873,317,22889465,128
First Bank of Jasper,873,317,22889465,129
First Commercial Bank of Huntsville,873,317,22889465,130
First Coast Community Bank,873,317,22889465,131
National Bank of South Carolina,873,317,22889465,132
Cohutta Banking Company,873,317,22889465,133
First State Bank & Trust Company,873,317,22889465,134
First Community Bank of Tifton,873,317,22889465,135
Coastal Bank of Georgia,873,317,22889465,136
Sea Island Bank,873,317,22889465,137
Bank of Tuscaloosa,873,317,22889465,138
First Commercial Bank,873,317,22889465,139
Sterling Bank,873,317,22889465,140
Synovus Bank of Jacksonville,873,317,22889465,141
Commercial Bank,873,317,22889465,142
Synovus Bank,873,317,22889465,143
Prosperity Bank,16835,314,17022609,144
State Bank,16835,314,17022609,145
Texas Guaranty Bank,16835,314,17022609,146
Dayton State Bank,16835,314,17022609,147
Southern National Bank,16835,314,17022609,148
"Associated Bank, National Association",5296,312,19772446,149
Associated Trust,5296,312,19772446,150
IBERIABANK,28100,298,16188327,151
VirtualBank,28100,298,16188327,152
"First Financial Bank, National Association",6600,297,8882485,153
First Financial Bank,6600,297,8882485,154
Peoples Community Bank,6600,297,8882485,155
MainSource Bank,6600,297,8882485,156
BancorpSouth Bank,11813,295,11153189,157
Banco Popular de Puerto Rico,34968,287,22812000,158
Eloan.com,34968,287,22812000,159
Valley National Bank,9396,286,14416472,160
Chemical Bank,1003,281,6364376,161
Northwestern Bank,1003,281,6364376,162
Hancock Bank,12441,280,17069241,163
Horizon Bank,28088,280,10586959,164
Washington Federal,28088,280,10586959,165
Whitney Bank,12441,280,17069241,166
Washington Federal Savings & Loan Association,28088,280,10586959,167
First Mutual Bank,28088,280,10586959,168
"Washington Federal, National Association",28088,280,10586959,169
"HSBC Bank USA, National Association",57890,264,126660460,170
Bank of the Ozarks,110,264,7100579,171
"Bank of America, National Association",57890,264,126660460,172
Italo-American Federal Credit Union,110,264,7100579,173
HSBC Advance,57890,264,126660460,174
"NCBT, A Division of SCBT",13425,256,1169569000,175
Savannah Bank,13425,256,1169569000,176
Habersham Bank,13425,256,1169569000,177
Community Bank & Trust,13425,256,1169569000,178
"BankMeridian, National Association",13425,256,1169569000,179
"First Federal, a Division of SCBT",13425,256,1169569000,180
"SCBT, National Association",13425,256,1169569000,181
South State Bank,13425,256,1169569000,182
Penn Federal Savings Bank,16022,255,26075920,183
New York Community Bank,16022,255,26075920,184
Roslyn Savings Bank,16022,255,26075920,185
AmTrust Bank,16022,255,26075920,186
Queens County Savings Bank,16022,255,26075920,187
Aurora Bank,16022,255,26075920,188
Indus American Bank,16022,255,26075920,189
Garden State Community Bank,16022,255,26075920,190
Richmond County Savings Bank,16022,255,26075920,191
Roosevelt Savings Bank,16022,255,26075920,192
Ohio Savings Bank,16022,255,26075920,193
"Community Bank, National Association",6989,250,6220065,194
First Liberty Bank & Trust,6989,250,6220065,195
Merchants Bank,6989,250,6220065,196
Trustmark National Bank,4988,246,9809118,197
Republic National Bank,4988,246,9809118,198
Great Western Bank,15289,244,7385335,199
First Community Bank,15289,244,7385335,200
Security Bank,15289,244,7385335,201
Home Federal Bank,15289,244,7385335,202
Simmons First National Bank,3890,230,4692419,203
Simmons Bank,3890,230,4692419,204
State Employees Credit Union,66310,229,1086292000,205
Centennial Bank,11241,224,5969410,206
Stonegate Bank,11241,224,5969410,207
Giantbank.com,11241,224,5969410,208
Navy Federal Credit Union,5536,220,1086292000,209
First National Bank of Stanton,5536,220,1086292000,210
Boone National S&L,24998,213,19291998,211
Commerce Bank,24998,213,19291998,212
"Webster Bank, National Association",18221,208,441409000,213
Northwest Savings Bank,28178,208,28960075,214
Northwest Bank,28178,208,28960075,215
"WesBanco Bank, Inc",803,203,6260044,216
"First Sentry Bank, Inc",803,203,6260044,217
Banner Bank,28489,202,4128988,218
Bank of Sacramento,28489,202,4128988,219
Columbia State Bank,33826,195,7052161,220
Columbia Bank,33826,195,7052161,221
Union First Market Bank,34589,191,5794802,222
Union Bank & Trust,34589,191,5794802,223
Xenith Bank,34589,191,5794802,224
"CenterState Bank of Florida, National Association",33555,188,3137585,225
Central Florida State Bank,33555,188,3137585,226
Harbor Community Bank,33555,188,3137585,227
"Bank of Albuquerque, National Association",4214,183,21502228,228
"Bank of Oklahoma, National Association",4214,183,21502228,229
"Colorado State Bank & Trust, National Association",4214,183,21502228,230
Mobank,4214,183,21502228,231
"Bank of Texas, National Association",4214,183,21502228,232
"Bank of Texas, National Associaiton",4214,183,21502228,233
"Bank of Arkansas, National Association",4214,183,21502228,234
"Bank of Arizona, National Association",4214,183,21502228,235
"Wachovia Bank, National Association",33869,182,0,236
Wachovia Bank,33869,182,0,237
SouthTrust Bank,33869,182,0,238
"Wells Fargo Bank, National Association",33869,182,0,239
First Midwest Bank,3709,179,8320577,240
United Community Bank,16889,179,6498967,241
International Bank of Commerce,19629,175,6952280,242
Renasant Bank,12437,173,4894388,243
"First Merchants Bank, National Association",4365,170,6364376,244
Lafayette Bank & Trust Company,4365,170,6364376,245
Commerce National Bank,4365,170,6364376,246
SCB Bank,4365,170,6364376,247
First Merchants Bank,4365,170,6364376,248
IAB Financial Bank,4365,170,6364376,249
Black Hills Federal Credit Union,4365,170,6364376,250
"NBT Bank, National Association",7230,168,6407984,251
"Pennstar Bank, A Division of NBT Bank",7230,168,6407984,252
Towne Center Bank,30337,161,9429449,253
Provident Bank,30337,161,9429449,254
Sterling National Bank,30337,161,9429449,255
Investors Savings Bank,28892,159,13726325,256
Investors Bank,28892,159,13726325,257
Marathon National Bank of New York,28892,159,13726325,258
"UMB Bank, National Association",8273,158,14639191,259
Valley Bank of Helena,30788,155,6591607,260
Glacier Bank,30788,155,6591607,261
Foothills Bank,30788,155,6591607,262
Mountain West Bank,30788,155,6591607,263
First Security Bank of Missoula,30788,155,6591607,264
Collegiate Peaks Bank,30788,155,6591607,265
Bank of the San Juans,30788,155,6591607,266
Citizens Community Bank,30788,155,6591607,267
First Security Bank,30788,155,6591607,268
First Bank of Montana,30788,155,6591607,269
Big Sky Western Bank,30788,155,6591607,270
Western Security Bank,30788,155,6591607,271
1ST Bank,30788,155,6591607,272
"North Cascades Bank, a division of Glacier Bank",30788,155,6591607,273
First Bank of Wyoming,30788,155,6591607,274
First State Bank,30788,155,6591607,275
"Summit Bank, NA",5510,153,23893949,276
Frost National Bank,5510,153,23893949,277
Frost Bank,5510,153,23893949,278
Catholic Family Federal Credit Union,5510,153,23893949,279
United Bank,22858,151,5005946,280
East West Bank,31628,149,24607178,281
Desert Community Bank,31628,149,24607178,282
FirstBank,18714,146,13644880,283
First Interstate Bank,1105,142,1169569000,284
Bank of the Cascades,1105,142,1169569000,285
Trustco Bank,31945,141,4137454,286
Ameris Bank,20504,139,4512524,287
First Bank of Beverly Hills,12229,139,5078813,288
First Bank,12229,139,5078813,289
First Commonwealth Bank,7468,139,19767761,290
Delaware County Bank & Trust Company,7468,139,19767761,291
"TeamBank, National Association",29546,137,105387907,292
Great Southern Bank,29546,137,105387907,293
First Bank,15019,136,2659444,294
"Asheville Savings Bank, SSB",15019,136,2659444,295
"MB Financial Bank, National Association",3628,134,10922607,296
Berkshire Bank,23621,132,5379939,297
First Choice Bank,23621,132,5379939,298
"Flagstar Bank, FSB",32541,129,7885147,299
Pinnacle National Bank,35583,127,5031509,300
Pinnacle Bank,35583,127,5031509,301
First Knox National Bank,6653,126,5615182,302
Unity National Bank,6653,126,5615182,303
Second National Bank,6653,126,5615182,304
"United Bank, National Association",6653,126,5615182,305
Richland Bank,6653,126,5615182,306
Park National Bank,6653,126,5615182,307
Century National Bank,6653,126,5615182,308
Farmers & Savings Bank,6653,126,5615182,309
Fairfield National Bank,6653,126,5615182,310
Security National Bank,6653,126,5615182,311
Pacific Western Bank,24045,125,13017499,312
Community National Bank,24045,125,13017499,313
"Rabobank, National Association",23364,123,11820000,314
Pacific State Bank,23364,123,11820000,315
Community Banks of Colorado,59052,121,3858756,316
Bank Midwest,59052,121,3858756,317
"Hillcrest Bank, National Association",59052,121,3858756,318
Community Banks of Northern California,59052,121,3858756,319
Hillcrest Bank,59052,121,3858756,320
Carter Bank & Trust,58596,121,4373057,321
Westamerica Bank,3430,119,4357770,322
Delaware National Bank,7551,119,7472986,323
C-T Waco Federal Credit Union,3430,119,4357770,324
National Bank of the Redwoods,3430,119,4357770,325
"Fulton Bank, National Association",7551,119,7472986,326
"BankUnited, National Association",58979,117,15513339,327
Eastern Bank,32773,116,8147688,328
"Cadence Bank, National Association",4999,113,50701551,329
United 1st Federal Credit Union,4999,113,50701551,330
First National Bank of Omaha,5452,111,14358185,331
First National Bank,5452,111,14358185,332
First National Bank of Kansas,5452,111,14358185,333
"Castle Bank, National Association",5452,111,14358185,334
First National Bank North Platte,5452,111,14358185,335
First National Bank Fremont,5452,111,14358185,336
FNBO Direct,5452,111,14358185,337
FNBO National,5452,111,14358185,338
First National Bank Southwest,5452,111,14358185,339
Rockland Trust Company,9712,107,5996161,340
Fort Sill National Bank,16416,105,77449451,341
Fort Sill Natioanl Bank,16416,105,77449451,342
Department of Veteran Affairs Federal Credit Union,16416,105,77449451,343
America First Federal Credit Union,24694,105,1086292000,344
Sheppard Bank,16416,105,77449451,345
"FSNB, National Association",16416,105,77449451,346
Altier Credit Union,24694,105,1086292000,347
Advantage Financial Federal Credit Union,16416,105,77449451,348
"Academy Bank, National Association",19600,104,600891,349
"Bremer Bank, National Association",12923,103,7847639,350
BancFirst,27476,100,5858620,351
Tri Counties Bank,21943,100,1169569000,352
"Granite Community Bank, National Association",21943,100,1169569000,353
Banco Popular North America,34967,99,8320577,354
Provident Bank,12010,99,5854736,355
Kislak National Bank,34967,99,8320577,356
Eloan.com,34967,99,8320577,357
Popular Community Bank,34967,99,8320577,358
Popular Bank,34967,99,8320577,359
Popular Direct,34967,99,8320577,360
Busey Bank,16450,96,3151629,361
BBCN Bank,26610,95,5764520,362
North Community Bank,20624,95,2216436,363
Independent Bank,27811,95,1998661,364
Center Bank,26610,95,5764520,365
California Center Bank,26610,95,5764520,366
PlainsCapital Bank,17491,95,6333331,367
Byline Bank,20624,95,2216436,368
"Southwest Securities, FSB",17491,95,6333331,369
Bank of Hope,26610,95,5764520,370
Traverse City State Bank,27811,95,1998661,371
Imperial Capital Bank,17281,94,29703099,372
City National Bank,17281,94,29703099,373
"Peoples Bank, National Association",6544,94,2559258,374
OceanFirst Bank,28359,94,5854736,375
Beneficial Mutual Savings Bank,15697,94,3632279,376
Beneficial Bank,15697,94,3632279,377
"Sun, a Division of OceanFirst Bank NA",28359,94,5854736,378
Peoples Bank,6544,94,2559258,379
1st Pacific Bank of California,17281,94,29703099,380
"First Niagara Bank, National Association",16004,92,72569086,381
Seacoast National Bank,131,92,77449451,382
FirstBank of Puerto Rico,30387,92,22812000,383
FirstBank Puerto Rico,30387,92,22812000,384
Firstbank of Puerto Rico,30387,92,22812000,385
Firstbank Florida,30387,92,22812000,386
Firstbank Puerto Rico,30387,92,22812000,387
City National Bank of West Virginia,17735,91,2916566,388
Coastal Federal Credit Union,18297,90,1086292000,389
Southside Bank,18297,90,1086292000,390
Southern Bank & Trust Company,15359,89,1868103,391
MidFirst Bank,4063,87,6434729,392
1st Century Bank,4063,87,6434729,393
The Fidelity Bank,11507,85,26567251,394
The Bank,27614,84,2969745,395
Fulton Bank of New Jersey,27614,84,2969745,396
"OneWest Bank, FSB",58978,83,17318674,397
First Security Bank,5633,83,3618254,398
Apple Bank for Savings,16068,83,10337304,399
"Community Trust Bank, Inc",2720,83,2921739,400
"OneWest Bank, National Association",58978,83,17318674,401
"OneWest Bank, a division of CIT Bank, NA",58978,83,17318674,402
CIT Bank,58978,83,17318674,403
Oriental Bank & Trust,31469,82,4755919,404
Oriental Bank,31469,82,4755919,405
"First Financial Bank, National Association",4382,81,2357028,406
1st Source Bank,9087,81,3963088,407
First Financial Bank,3066,80,4798306,408
"First Financial Bank, National Association",3066,80,4798306,409
Northern Trust Company,913,79,43892391,410
Golden 1 Credit Union,61650,79,0,411
First Bank,8663,79,2040551,412
FirstBank,8663,79,2040551,413
Clayton Bank & Trust,8663,79,2040551,414
Mountain America Federal Credit Union,24692,79,0,415
Farmers State Bank,8663,79,2040551,416
Midwest Bank & Trust Company,13675,77,19767761,417
"FirstMerit Bank, National Association",13675,77,19767761,418
S&T Bank,11124,77,4868429,419
Citizens Bank,13675,77,19767761,420
Midland States Bank,1040,76,2244143,421
Susquehanna Bank,7579,76,14446402,422
First Community Bank,13012,76,2659444,423
Peoples Community Bank,13012,76,2659444,424
"First Community Bank, National Association",13012,76,2659444,425
Capital Educators Federal Credit Union,1040,76,2244143,426
"Horizon Bank, National Association",4360,75,1610183,427
Alliance Banking Company,4360,75,1610183,428
Heartland Community Bank,4360,75,1610183,429
Bank Mutual,30125,75,1788576,430
Independent Bank,3076,75,3474501,431
Horizon Bank,4360,75,1610183,432
Northstar Bank,3076,75,3474501,433
Countrywide Financial,33143,74,0,434
"Countrywide Bank, FSB",33143,74,0,435
Bank of America Home Loans,33143,74,0,436
Camden National Bank,4255,74,1999582,437
Union Trust,4255,74,1999582,438
Bank of America,33143,74,0,439
New Horizons Community Credit Union,11065,73,0,440
Norbel Credit Union,11065,73,0,441
Security Service Federal Credit Union,11065,73,0,442
Heritage Bank,29012,73,2963147,443
Whidbey Island Bank,29012,73,2963147,444
Puget Sound Bank,29012,73,2963147,445
Central Valley Bank,29012,73,2963147,446
"Dollar Bank, Federal Savings Bank",32245,72,5614669,447
Pinnacle Bank,10634,71,3586028,448
Capital City Bank,9622,71,2181997,449
First United Bank & Trust Company,4239,71,2546959,450
Forge Credit Union,9622,71,2181997,451
Self-Help Credit Union,66258,70,1086292000,452
"Wilmington Savings Fund Society, FSB",17838,70,3570536,453
Carolina Mountains Credit Union,66258,70,1086292000,454
Sandy Spring Bank,4865,70,3262332,455
Cathay Bank,18503,70,9062404,456
Great Eastern Bank,18503,70,9062404,457
Community Trust Credit Union,66258,70,1086292000,458
WashingtonFirst Bank,4865,70,3262332,459
United Services Credit Union,66258,70,1086292000,460
"Jax Metro, A Division of Self-Help Credit Union",66258,70,1086292000,461
"Seaway, A Division of Self-Help FCU",66258,70,1086292000,462
Far East National Bank,18503,70,9062404,463
"Second Federal Savings,a division of Self-Help FCU",66258,70,1086292000,464
Choice Community Credit Union,66258,70,1086292000,465
Bangor Savings Bank,18408,69,2265091,466
Alaska USA Federal Credit Union,5913,68,0,467
High Desert Federal Credit Union,5913,68,0,468
Bank of Hawaii,18053,68,12317175,469
Fidelity Bank,21440,68,5078813,470
First Republic Bank,59017,68,41887566,471
Guaranty Bank,30003,67,990597,472
"BestBank, A Division of Guaranty Bank",30003,67,990597,473
Florida Community Bank,58991,66,4470181,474
Peninsula Bank,58991,66,4470181,475
Lakeland Bank,19953,66,2856241,476
"Premier American Bank, National Association",58991,66,4470181,477
Heartland Bank & Trust Company,20369,66,2042862,478
"Florida Community Bank, National Association",58991,66,4470181,479
Opus Bank,33806,65,4595318,480
German American Bank,17393,65,1780783,481
Peoples Bank,17393,65,1780783,482
Citizens State Bank,17393,65,1780783,483
German American Bancorp,17393,65,1780783,484
Citizens Business Bank,21716,64,6011480,485
"Sunflower Bank, National Association",4767,64,1345907,486
BankPlus,5903,64,2048929,487
First National 1870,4767,64,1345907,488
Banco Santander Puerto Rico,20828,63,4407502,489
"MidSouth Bank, National Association",25884,62,1570679,490
Rockville Bank,18203,62,4240402,491
United Bank,18203,62,4240402,492
LegacyTexas Bank,58006,62,4540812,493
ViewPoint Bank,58006,62,4540812,494
"ViewPoint Bank, National Association",58006,62,4540812,495
"North Shore Bank, FSB",28679,61,1443296,496
Illinois State Bank,28679,61,1443296,497
State Bank & Trust Company,57870,60,2362860,498
Centier Bank,12854,60,2394368,499
Citizens Bank & Savings Company,15310,60,1205847,500
Pentagon Federal Credit Union,227,60,194285086,501
HomeStreet Bank,32489,60,5494396,502
Five Star Bank,659,60,2672920,503
"HomeStreet Bank, DBA Fortune Bank",32489,60,5494396,504
"CB&S Bank, Inc",15310,60,1205847,505
Alostar Bank of Commerce,57870,60,2362860,506
"First Mid-Illinois Bank & Trust, N.A.",3705,59,8882485,507
Desert Schools Federal Credit Union,3238,59,0,508
"The First, A National Banking Association",34217,59,956811,509
Space Coast Credit Union,67297,59,1086292000,510
Eastern Financial Florida Credit Union,67297,59,1086292000,511
"American Savings Bank, FSB",32526,59,4850407,512
First Community Bank,34217,59,956811,513
The First of Baldwin County,34217,59,956811,514
Desert Financial Credit Union,3238,59,0,515
Sunshine Community Bank,34217,59,956811,516
Iberville Bank,34217,59,956811,517
Liberty Bank,17943,58,2946121,518
First Hawaiian Bank,17985,58,14012294,519
CresCom Bank,57135,58,1010600,520
Crescom Bank,57135,58,1010600,521
RCB Bank,15399,57,2149279,522
Chartway Federal Credit Union,13242,57,6952280,523
"Triumph Community Bank, a division of TBK Bank,SSB",23498,57,842133,524
"TBK Bank, SSB",23498,57,842133,525
"Triumph Savings Bank, a division of TBK Bank, SSB",23498,57,842133,526
Farmers & Merchants State Bank,13242,57,6952280,527
"Triumph Savings Bank, SSB",23498,57,842133,528
Washington Mutual Bank,32633,56,0,529
First State Community Bank,17323,56,3858756,530
"JPMorgan Chase Bank, National Association",32633,56,0,531
"Armed Forces Bank, National Association",4666,55,765032,532
Mercantile Bank of Michigan,34598,55,2280590,533
First American Bank,3657,55,2400275,534
Bank of Colorado,16980,54,2353126,535
Hanmi Bank,24170,54,3456812,536
Kearny Federal Savings Bank,28765,54,2814905,537
Pinnacle Bank,16980,54,2353126,538
Univest Bank & Trust Company,7759,54,2275330,539
"Central Jersey Bank, National Association",28765,54,2814905,540
"Valley Green Bank, a Division of Univest B&T",7759,54,2275330,541
Clifton Savings Bank,28765,54,2814905,542
Kearny Bank,28765,54,2814905,543
Sabine State Bank & Trust Company,8141,53,681139,544
Old Line Bank,27599,52,1084941,545
Maryland Bank & Trust Company,27599,52,1084941,546
"Paragon Bank, a Division of TowneBank",35095,51,4712718,547
MutualBank,27744,51,1081300,548
HomeTrust Bank,27677,51,1899722,549
Teachers Credit Union,60060,51,3151629,550
TowneBank,35095,51,4712718,551
Fidelity Federal Savings,27744,51,1081300,552
Clyde Savings Bank,27677,51,1899722,553
Suncoast Credit Union,68645,51,1069425000,554
Shelby Savings Bank,27677,51,1899722,555
"Home Savings Bank, A Division of HomeTrust Bank",27677,51,1899722,556
Industrial Federal Savings Bank,27677,51,1899722,557
"HomeTrust Bank, National Association",27677,51,1899722,558
Star Financial Bank,27235,50,1453123,559
Republic Bank & Trust Company,23627,50,2413811,560
Scotiabank de Puerto Rico,22946,50,3545737,561
International Bank of Commerce,59093,50,6952280,562
Fifth Third Bank,993,49,105387907,563
MainSource Bank,5766,49,8882485,564
"INTRUST Bank, National Association",4799,49,3355853,565
Sonabank,57968,49,975947,566
Pine Belt Federal Credit Union,4799,49,3355853,567
First National Bank of Long Island,7072,49,2209434,568
Ashland Community Federal Credit Union,7072,49,2209434,569
Oneida County Federal Credit Union,13102,48,3021056,570
Mutual of Omaha Bank,32325,48,5496908,571
Western Federal Credit Union,15732,48,0,572
American Airlines Federal Credit Union,23957,48,279550033,573
Lake City Bank,13102,48,3021056,574
First Federal Bank of the Midwest,29845,48,1780743,575
Home Bank,28094,48,1036864,576
"Home Bank, National Association",28094,48,1036864,577
Bar Harbor Bank & Trust,11971,48,1158648,578
Automatic Data Processing Federal Credit Union,15732,48,0,579
UNIFY Financial Credit Union,15732,48,0,580
Citizens National Bank,18429,47,2393394,581
Johnson Bank,20296,47,3364518,582
Rose Rock Bank,27210,47,2500348,583
Morton Community Bank,18429,47,2393394,584
Minonk Community Bank,18429,47,2393394,585
InterBank,27210,47,2500348,586
Nicolet National Bank,57038,47,1018625,587
Fairbury-Cropsey Community Bank,18429,47,2393394,588
Roanoke-Benson Community Bank,18429,47,2393394,589
State Bank of Arthur,18429,47,2393394,590
Speer Community Bank,18429,47,2393394,591
Peoria Community Bank,18429,47,2393394,592
Manito Community Bank,18429,47,2393394,593
Farmington Community Bank,18429,47,2393394,594
Citizens Bank Downtown,18429,47,2393394,595
Citizens Bank West,18429,47,2393394,596
Citizens Bank East,18429,47,2393394,597
Citizens Bank,18429,47,2393394,598
Stanford Community Bank,18429,47,2393394,599
Bloomington-Normal Community Bank,18429,47,2393394,600
Lacon Community Bank,18429,47,2393394,601
Toluca Community Bank,18429,47,2393394,602
Washburn Community Bank,18429,47,2393394,603
Eureka Community Bank,18429,47,2393394,604
Spring Bay Community Bank,18429,47,2393394,605
Trivoli Community Bank,18429,47,2393394,606
Elmwood Community Bank,18429,47,2393394,607
Princeville Community Bank,18429,47,2393394,608
Hanna City Community Bank,18429,47,2393394,609
Bartonville Community Bank,18429,47,2393394,610
Peoria Heights Community Bank,18429,47,2393394,611
Washington Community Bank,18429,47,2393394,612
Pekin Community Bank,18429,47,2393394,613
Fondulac Banking Center,18429,47,2393394,614
Tremont Community Bank,18429,47,2393394,615
Minier Community Bank,18429,47,2393394,616
Fondulac Bank,18429,47,2393394,617
Guaranty Bank & Trust Company,17482,46,1750356,618
Equity Bank,25858,46,1013693,619
Third Federal Savings & Loan Assoc of Cleveland,30012,46,8557805,620
Columbia Bank,28834,46,3561508,621
PATELCO Credit Union,68579,46,98120237,622
First Community Bank,4705,46,676876,623
Third Federal S&L,30012,46,8557805,624
Security Bank of Kansas City,4705,46,676876,625
Citizens National Bank,3250,46,1443782,626
Capitol Federal Savings Bank,27981,46,4980796,627
Union State Bank,3250,46,1443782,628
MidWestOne Bank,14843,45,1384904,629
Citizens Community Federal National Association,57265,45,1027193,630
Northern National Bank,1399,45,1260555,631
Southern Bank,28332,45,1056143,632
Frandsen Bank & Trust,1399,45,1260555,633
Pitney Bowes Employees Federal Credit Union,1399,45,1260555,634
United Bank,6784,45,4314222,635
Southern Bancorp Bank,1528,45,929844,636
Citizens Community Federal,57265,45,1027193,637
"Bridge Bank, National Association",57512,44,11460459,638
Columbia Bank,27244,44,1654102,639
